,ident,Code,Adresse,Surface,Type,Tutelle pédagogique,Statut
404,75005004,75005,24/34A rue d'Ulm,9623.0,Université,Enseignement Supérieur,Public
405,75005005,75005,36 rue d'Ulm,3719.0,Université,Enseignement Supérieur,Public
406,75005015,75005,17 rue de la Sorbonne,20957.0,Université,Enseignement Supérieur,Public
407,75005016,75005,19 rue de la Sorbonne,20957.0,Grand Etablissementt,Enseignement Supérieur,Public
408,75005030,75005,12 place du Panthéon,4514.0,Université,Enseignement Supérieur,Public
409,75005047,75005,18 rue de la Sorbonne,583.0,Université,Enseignement Supérieur,Public
410,75005062,75005,4 rue Valette,4563.0,Université,Enseignement Supérieur,Public
411,75005065,75005,26 rue des Fossés Saint Jacques,636.0,Université,Enseignement Supérieur,Public
412,75005066,75005,1/3 rue Guy De La Brosse,736.0,Université,Enseignement Supérieur,Public
413,75005076,75005,13 rue Santeuil,8878.0,Université,Enseignement Supérieur,Public
414,75005082,75005,11A rue Pierre et Marie Curie,787.0,Grand EtablissementT,Enseignement Supérieur,Public
416,75005085,75005,16 rue Claude Bernard,8347.0,Grande Ecole (conférence),Agriculture,Public
417,75005090,75005,6  rue Jean Calvin,1184.0,Grand Etablissementt,Enseignement Supérieur,Public
418,75006020,75006,5/15 rue de l'Ecole de Médecine,14504.0,Université,Enseignement Supérieur,Public
419,75006021,75006,5/15 rue de l'Ecole de Médecine,14504.0,Université,Enseignement Supérieur,Public
420,75006027,75006,3 rue Michelet,1612.0,Université,Enseignement Supérieur,Public
421,75006032,75006,10 rue Monsieur le Prince,281.0,Grand Etablissementt,Enseignement Supérieur,Public
422,75006034,75006,13 rue du Four,860.0,Université,Enseignement Supérieur,Public
425,75007009,75007,4 rue de Lille,414.0,Université,Enseignement Supérieur,Public
426,75007013,75007,9 rue de la Chaise,896.0,Grand Etablissementt,Enseignement Supérieur,Public
427,75011004,75011,26/28 rue Faidherbe,1452.0,Autre,Enseignement Supérieur,Ville de Paris
428,75012005,75012,Avenue de l'Ecole de Joinville - Bois de Vincennes,41346.0,Autre,Intérieur,Public
429,75012007,75012,184 rue du Faubourg Saint Antoine,30885.0,Autre,Santé,Public
430,75013002,75013,90 rue de Tolbiac,4735.0,Université,Enseignement Supérieur,Public
431,75013005,75013,1/11 rue Pirandello,9715.0,Grande Ecole (conférence),Enseignement Supérieur,Public
432,75013014,75013,173/179 rue Chevaleret,5673.0,Université,Enseignement Supérieur,Public
433,75013015,75013,173/179 rue Chevaleret,5673.0,Université,Enseignement Supérieur,Public
434,75013020,75013,17 rue Saint Hippolyte,887.0,Université,Enseignement Supérieur,Public
435,75013021,75013,12/34 rue du Château des Rentiers,9383.0,Université,Enseignement Supérieur,Public
436,75013024,75013,6/14 rue Jean-Sébastien Bach,872.0,Grand Etablissementt,Enseignement Supérieur,Public
437,75013026,75013,21 boulevard Saint Marcel,1216.0,Autre,Enseignement Supérieur,Privé
438,75013027,75013,71/75 bd Saint Marcel,2507.0,Autre,Enseignement Supérieur,Privé
439,75013029,75013,55/65 quai Panhard et Levassor,6089.0,Université,Enseignement Supérieur,Public
440,75013031,75013,18/34 rue Alice Dormon et Léonie Duquet,5887.0,Université,Enseignement Supérieur,Public
441,75013034,75013,6/10 rue Jean Antoine de Baïf,7999.0,Université,Enseignement Supérieur,Public
442,75013035,75013,3/15 quai Panhard et Levassor,5887.0,Autre,Enseignement Supérieur,Public
443,75013040,75013,147/155 bd de l'Hôpital,21444.0,Grande Ecole (conférence),Enseignement Supérieur,Public
445,75014011,75014,9/11 rue Dareau,1005.0,Grande Ecole (conférence),Enseignement Supérieur,Public
446,75014014,75014,207A rue Raymond Losserand,7552.0,Autre,Education Nationale,Public
